Time,Revenue
2019-11-30,4781
2019-08-31,6533
2019-05-31,4838
2019-02-28,4673
2018-11-30,4456
2018-08-31,5836
2018-05-31,4357
2018-02-28,4232
2017-11-30,4259
2017-08-31,5515
2017-05-31,3945
2017-02-28,3791
2016-11-30,3936
2016-08-31,5097
2016-05-31,3705
2016-02-29,3651
2015-11-30,3710
2015-08-31,4883
2015-05-31,3590
2015-02-28,3531
2014-11-30,3719
2014-08-31,4947
2014-05-31,3633
2014-02-28,3585
2013-11-30,3658
2013-08-31,4726
2013-05-31,3479
2013-02-28,3593
2012-11-30,3578
2012-08-31,4684
2012-05-31,3538
2012-02-29,3582
2011-11-30,3696
2011-08-31,5058
2011-05-31,3620
2011-02-28,3419
2010-11-30,3497
2010-08-31,4527
2010-05-31,3267
2010-02-28,3178
2009-11-30,3509
2009-08-31,4139
2009-05-31,2948
2009-02-28,2864
2008-11-30,3603
2008-08-31,4814
2008-05-31,3378
2008-02-29,3152
2007-11-30,3124
2007-08-31,4321
2007-05-31,2900
2007-02-28,2688
2006-11-30,2809
2006-08-31,3905
2006-05-31,2662
2006-02-28,2463
2005-11-30,2575
2005-08-31,3607
2005-05-31,2516
2005-02-28,2396
